Date,Open,High,Low,Close,Volume,Adj Close
2016-12-29,166.020004,166.990005,166.00,166.600006,1594000,166.600006
2016-12-28,167.289993,167.740005,166.00,166.190002,1721800,166.190002
2016-12-27,166.979996,167.979996,166.850006,167.139999,1396000,167.139999
2016-12-23,167.00,167.490005,166.449997,166.710007,1699200,166.710007
2016-12-22,167.360001,168.229996,166.580002,167.059998,2778900,167.059998
2016-12-21,166.25,167.940002,165.25,167.330002,3568400,167.330002
2016-12-20,167.490005,168.25,166.449997,167.600006,2170400,167.600006
2016-12-19,166.830002,167.259995,166.00,166.679993,2855700,166.679993
2016-12-16,168.970001,169.110001,166.059998,166.729996,6679200,166.729996
2016-12-15,168.009995,169.850006,167.779999,168.020004,3363200,168.020004
2016-12-14,168.369995,169.889999,167.449997,168.509995,3957600,168.509995
2016-12-13,165.679993,169.949997,165.679993,168.289993,5838700,168.289993
2016-12-12,166.720001,166.789993,165.070007,165.50,3389200,165.50
2016-12-09,165.179993,166.720001,164.600006,166.520004,3143900,166.520004
2016-12-08,164.869995,166.00,164.220001,165.360001,3259700,165.360001
2016-12-07,160.600006,165.179993,160.389999,164.789993,4377300,164.789993
2016-12-06,160.130005,160.789993,158.929993,160.350006,2814800,160.350006
2016-12-05,160.850006,161.149994,159.589996,159.839996,3426500,159.839996
2016-12-02,159.00,160.289993,158.410004,160.020004,2737400,160.020004
2016-12-01,161.949997,162.199997,158.300003,159.820007,4621300,159.820007
2016-11-30,163.350006,163.800003,162.210007,162.220001,4319400,162.220001
