Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,224.729996,224.830002,222.729996,223.529999,101301800,223.529999
2016-12-29,224.479996,224.889999,223.839996,224.350006,47719500,224.350006
2016-12-28,226.570007,226.589996,224.270004,224.399994,59776300,224.399994
2016-12-27,226.020004,226.729996,226.00,226.270004,41054400,226.270004
2016-12-23,225.429993,225.720001,225.210007,225.710007,36251400,225.710007
2016-12-22,225.600006,225.740005,224.919998,225.380005,56219100,225.380005
2016-12-21,226.25,226.449997,225.770004,225.770004,67909000,225.770004
2016-12-20,226.149994,226.570007,225.880005,226.399994,85886100,226.399994
2016-12-19,225.25,226.020004,225.080002,225.529999,86815900,225.529999
2016-12-16,226.009995,226.080002,224.669998,225.039993,156420200,225.039993
2016-12-15,226.160004,227.809998,225.889999,226.809998,124972600,225.480992
2016-12-14,227.410004,228.229996,225.369995,225.880005,142501800,224.556449
2016-12-13,227.020004,228.339996,227.00,227.759995,110477500,226.425423
2016-12-12,226.399994,226.960007,225.759995,226.25,102016100,224.924276
2016-12-09,225.410004,226.529999,225.369995,226.509995,88005800,225.182747
2016-12-08,224.570007,225.699997,224.259995,225.149994,99714400,223.830715
2016-12-07,221.520004,224.669998,221.380005,224.600006,110738100,223.28395
2016-12-06,221.220001,221.740005,220.660004,221.699997,59877400,220.400934
2016-12-05,220.649994,221.399994,220.419998,221.00,67837800,219.705039
2016-12-02,219.669998,220.25,219.259995,219.679993,74840300,218.392766
2016-12-01,220.729996,220.729996,219.149994,219.570007,79040500,218.283425
